id,year,rank,school,games,wins,losses,win_percentage,conference_wins,conference_losses,home_wins,home_losses,away_wins,away_losses,offensive_rating,defensive_rating,net_rating,field_goals,field_goal_attempts,field_goal_percentage,3_pointers,3_pointer_attempts,3_pointer_percentage,effective_field_goal_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,opponent_points,simple_rating
22,2019,2,Baylor,30,26,4,0.867,15,3,14,1,8,2,106.4,89.9,16.4,25.4,59.3,0.429,7.7,21.9,0.351,0.494,12.6,18.3,0.69,12.9,36.9,13.8,8.1,4.4,11.9,17,71.1,60.1,20.13
23,2019,3,Oklahoma,31,19,12,0.613,9,9,12,3,4,8,100.8,96.7,4.1,24.5,58.3,0.42,7.2,22.7,0.318,0.482,14,18.2,0.766,8.4,36.9,11.8,6.1,4.4,11.1,13.4,70.2,67.4,13.48
24,2019,4,Texas,31,19,12,0.613,9,9,11,6,6,5,96.9,95.6,1.3,23.9,55.8,0.428,8,23.9,0.334,0.499,8.4,12.3,0.685,9,31.8,11.6,5.5,4.3,13.5,18.3,64.2,63.3,10.47
25,2019,5,Texas Tech,31,18,13,0.581,9,9,13,4,3,7,103.8,91.6,12.1,25.1,55.6,0.452,7.2,20.4,0.355,0.517,14.5,19.2,0.754,9,33.3,15.4,7.7,4,13.6,17.6,71.9,63.5,16.83
26,2019,6,West Virginia,31,21,10,0.677,9,9,14,2,4,8,100.9,89.6,11.3,25,59.1,0.422,5,17.5,0.286,0.465,15.4,23.9,0.642,15.2,40.5,12.4,7.7,3.6,14.4,18.5,70.3,62.4,18.51
27,2019,7,Oklahoma State,32,18,14,0.563,7,11,10,6,5,7,98.7,96.5,2.2,23.7,55.7,0.425,5.9,18.8,0.315,0.478,14.4,19.6,0.734,10.1,35.7,11.8,6.8,3.8,13.3,17.9,67.6,66.1,12.01
28,2019,8,TCU,32,16,16,0.5,7,11,14,5,1,9,98.5,97.8,0.7,23.7,56.2,0.422,8.6,24.3,0.352,0.498,9.5,14.9,0.637,11.2,34.9,14.6,6.9,4.9,14.2,16.4,65.4,65,9.86
29,2019,9,Iowa State,32,12,20,0.375,5,13,11,6,0,11,101.8,103.2,-1.4,26.1,59.5,0.439,7.1,22.4,0.316,0.498,12.7,17,0.746,10.2,34.3,13.8,7.4,4.2,13.3,16.2,72,73,9.1
30,2019,10,Kansas State,32,11,21,0.344,3,15,9,7,1,10,95.1,96.3,-1.2,22.5,54.4,0.414,6.7,21.3,0.313,0.475,12.5,18.9,0.661,10.3,32.8,12.4,8.7,2.4,14.3,19.1,64.2,65,8.7
31,2018,1,Kansas State,34,25,9,0.735,14,4,13,2,7,5,101.3,91.7,9.6,23.7,55.2,0.429,7.1,21.2,0.334,0.493,11.3,16.9,0.667,9.6,33.4,13.6,7.5,2.2,11.3,16.2,65.8,59.6,15.39
